Tabelle 1;;;;;;;;;;
Id;;Lokal;Jahr;Telefonnummer;Straße;Hausnummer;lat, lon;Aus der Speisekarte;fremde Identifikatoren;Personen
p1/m1;p1_m1_ima2.jpg;Armbrustschützenzelt;1975;;Wirtsbudenstraße;117;48.13387, 11.54852;;;
p1/m2;p1_m2.jpg;Armbrustschützenzelt;1975;;Wirtsbudenstraße;117;48.13387, 11.54852;;;
p1/m3;;Armbrustschützenzelt;1975;;Wirtsbudenstraße;117;48.13387, 11.54852;;;
p2/m1;;Gaststätte Augustiner;19591027;;Neuhauser Str.;16;48.13891, 11.56803;;;
p138/m1;;Augustiner Festhalle;Oktoberfest 1965;;Wirtsbudenstraße;64;48.13286, 11.54976;;;
p2/m2;;Gaststätte Augustiner;19170709;;Neuhauser Str.;16;48.13891, 11.56803;;;
p2/m3;;Gaststätte Augustiner;19180128;;Neuhauser Str.;16;48.13891, 11.56803;;;
p2/m4;p2_m4.jpg;Gaststätte Augustiner;19180418;;Neuhauser Str.;16;48.13891, 11.56803;;;
p2/m5;p2_m5.jpg;Gaststätte Augustiner;19590815;;Neuhauser Str.;16;48.13891, 11.56803;;;
p2/m6;p2_m6_ima2.jpg;Gaststätte Augustiner;19591027;;Neuhauser Str.;16;48.13891, 11.56803;;;
p2/m7;;Restaurant Augustiner;1916 Sommer;;Neuhauser Str.;16;;"Preise „exclusive der Steuererhöhung“; „Speisen ohne Getränke 10 Pfg. mehr.“";;
p3/m1;;Gaststätte Bavaria;Abend 19380828;;Bayerstr.;81;48.1389837,11.5506248;;;
p3/m2;p3_m2.jpg;Gaststätte Bavaria;Mittag 19380828;;Bayerstr.;81;48.1389837,11.5506248;;;
p139/m1;;Hotel und Restaurant „Bavaria“;1938;;Schillerstr.;10;[48.1394259,11.5548529];„Eigene Schlächterei“;;
p4/m1;;Bayerische Krone;19430308;Fernsprecher 59178;Schützenstraße;10;[48.13997, 11.56266];;;
p4/m2;;Bayerische Krone;19390716;Fernsprecher 59178;Schützenstraße;10;[48.13997, 11.56266];;;
p4/m3;;Hotel und Gaststätte Bayerische Krone;19420629;Fernsprecher 59178;Schützenstraße;10;[48.13997, 11.56266];;;
p5/m1;;Bayerischer Hof;1959;"28871
Fernschreiber 05/23409";Promenadepl.;2-6;48.1404252,11.5730849;;"Q728213
";
p5/m2;;Bayerischer Hof;1959;;Promenadepl.;2-6;48.1404252,11.5730849;;Q728214;
p5/m3;;Bayerischer Hof;1959;;Promenadepl.;2-6;48.1404252,11.5730849;;Q728215;
p5/m4;;Bayerischer Hof;19590710;;Promenadepl.;2-6;48.1404252,11.5730849;;Q728216;
p5/m5;;Bayerischer Hof;19591029;;Promenadepl.;2-6;48.1404252,11.5730849;;Q728217;
p5/m6;;Bayerischer Hof;195907;;Promenadepl.;2-6;48.1404252,11.5730849;;Q728218;
p6/m1;;Bierstüberl am Deutschen Theater / Pension Pregler;19390715;50622;Landwehrstraße;20;[48.1364604,11.561245];;;
