ID;Überschrift;Text;Sterne;
p130;Leberschnitdn schnitdn guad ob;Mia wurdn narrisch freindlich empfangn und hatdn oan narrisch ogenehma Oamd! Des Essn war guad! Reineclaudn, Schdangnspargl m. Schinkn, Leberschnitdn, Pfannkuacha natua, Niern saua: delikod! Wirklich oo Besuch wert, sodass mia in den naxtn Togn nochmois voobigengo.;5;
p44;Störn mia?;Koa Ahnung ob mia de falsche Zeid eawischt hom oda an wos 's gelegn is, eigentle san de Bewertunga jo duachweg guad i konn am leida ned zuastimma! Mia kama an und wurdn zögrlich in Empfang gnomma und wos widerwuiig blotziad. Des Essn war jedoch guad. ;3;
p42;Bohhofshoie;Wia bereits zua eawardn, is des Lokoi zua Massenobfertigung do. A riesiga Raum mid unzählig vuin Dischn und Stühln.  De Möbl warn totoi vastaubt.;1;
p114;Nice;"The menu is very sparse. Nevertheless, we had a wondeful lunch. ""Geräuchertes Wammerl"" - I don't know what that is but it was tasty!";4;
p14;Durstige sparen hier.;Nie wieder! Speisen ohne Getränke kosten 10 Pfennig mehr - wir sind eine achtköpfige Familie!;1;
p18;Flatulenz :(;Habe von dem angepriesenen Rohkostbuffet nicht abgenommen, sondern schlimme Blähungen bekommen. Geschmeckt hat es aber!;3;
p34;Mmmmmmmh;"Eines meiner Lieblingswirtshäuser! Hier komme ich mindestens zwei mal die Woche her, um meine Leibspeise zu essen: Kalbskopfomelette mit Salat. Besondere Empfehlung außerdem: ""Weiche Eier Prinzeß"".";5;
p89;Weltklasse;Ich habe sehr viele Wirtshäuser in Deutschland, Europa und der ganzen Weilt besucht. Ich muss sagen, das Pschorrbräu ist eine der schönsten und saubersten Lokalitäten. Vor allem finde ich es sehr gemütlich, das Personal ist sehr freundlich und aufmerksam. Ein Muss für jeden Bierliebhaber.;5;
p126;Highly recommended!!!!;Stumbled upon the Turmstueberl on our walk home and fell in love with this cozy little hideaway from the outside world.;5;
;Schbrizzwuaf;Auf da Oma sein Opfeschdrudl kriag i imma an säichan Schbrizzwuaf;;
;Aus is!;;;
;Do kriag i soiche Kawwen;;;
;Nix Gwiss woass ma ned;;3;
;Des is a gmahde Wiesn!;;5;
;Sauf ma, na steam ma;sauf ma ned, na steam ma aa, oiso sauf ma!;0;
;Um a Fünferl a Durchanand;;1;
;Zack!;Guat gnua fia olle Dog, und am Sunndoch oaweit ma eh nix! ;2;
;Peng!;Jo is des a Dringaheiloostoid odara Wirtshaus, haa? ;3;
;Ned gschimpft is globt gnua;;4;
;Zum Scheissn duadsas scho! ;;5;
;Saufts ned a so, trinks liaba a Bier;;4;
;Tschombaleia, Bier und Schnaps san deia;"Zumindest in dieser Kaschemme. Außerdem waren alle nackert.
";5;
;Drei Hoibe san oa Schweinsbratn und nix zum dringa dazu;;0;
;Danke Merkel;De Koinerin hods Speckbsteck z spaad bstoid!;2;
;Zwoa Hoibe san aar a Läbakaassemme!;;1;
;Gegn an Misthaufn konnst ned ostinga! ;;5;
;Schee woas, vui Leit ham gwoant ;;5;
;Schwoamas owi ;;4;
;Wann ma de Leit und 's Viech mitanand vagleicht, steigt da Viechpreis. ;Dies zumindest in Bezug auf die übrigen Gäste (mich eingeschlossen) dieses Lokals! 5 Sterne. Gerne wieder;0;
;Warum soit i fuat foahrn, mia gfoits dahoam scho ned! ;;5;
;Koche;"Wer ko, der ko; wer ned ko, der mechat aa ganz gern.";1;
;Sauberkeit lässt an manchen Stellen zu wünscvhen übrig. Hier geht noch was!;A so a Saustoi, ois wia wann de Vandalen do ghaust hädn;5;
;Friß an Aschn, werst hundert Jahr oid;Oder Gemüse. Doch imho keineswegs die hier feilgebotenen Speisen. lmao lol ;5;
;In der Not frißt da Teifi Fliagn;Die Fliegen waren sehr lecker;5;
