Dateiname;Ort;Kategorie/Signatur;Typ;Datum;Nummer;Format;Dateigröße
Armbrustschützenzelt;Armbrustschützenzelt;;;;;DIR;26,848 MB
Armbrustschützenzelt_Speisenkarte_1975;Armbrustschützenzelt;;Speisenkarte;28.05.1905;;DIR;9,782 MB
Armbrustschützenzelt_Speisenkarte_1975_01.jpg;Armbrustschützenzelt;;Speisenkarte;28.05.1905;1;JPG;9,782 MB
Armbrustschützenzelt_Speisenkarte_20.09.1975;Armbrustschützenzelt;;Speisenkarte;20.09.1975;;DIR;7,673 MB
Armbrustschützenzelt_Speisenkarte_20.09.1975_01.jpg;Armbrustschützenzelt;;Speisenkarte;20.09.1975;1;JPG;7,673 MB
Armbrustschützenzelt_Speisenkarte_ca. 1972;Armbrustschützenzelt;;Speisenkarte;ca. 1972;;DIR;9,393 MB
Armbrustschützenzelt_Speisenkarte_ca. 1972_01.jpg;Armbrustschützenzelt;;Speisenkarte;ca. 1972;1;JPG;9,393 MB
Augustiner;Augustiner;;;;;DIR;285,338 MB
Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917;Augustiner, Gaststätte;F Mon 3457;Kriegs-Speisenkarte;09.07.1917;;DIR;33,516 MB
Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917_01.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;09.07.1917;1;JPG;8,838 MB
Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917_02.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;09.07.1917;2;JPG;16,167 MB
Augustiner, Gaststätte_F Mon 3457_Kriegs-Speisenkarte_09.07.1917_03.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;09.07.1917;3;JPG;8,511 MB
Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918;Augustiner, Gaststätte;F Mon 3490;Kriegs-Speisenkarte;28.01.1918;;DIR;35,068 MB
Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918_01.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;28.01.1918;1;JPG;9,106 MB
Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918_02.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;28.01.1918;2;JPG;16,957 MB
Augustiner, Gaststätte_F Mon 3490_Kriegs-Speisenkarte_28.01.1918_03.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;28.01.1918;3;JPG;9,005 MB
Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918;Augustiner, Gaststätte;F Mon 3492;Kriegs-Speisenkarte;18.04.1918;;DIR;32,321 MB
Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918_01.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;18.04.1918;1;JPG;8,644 MB
Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918_02.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;18.04.1918;2;JPG;15,253 MB
Augustiner, Gaststätte_F Mon 3492_Kriegs-Speisenkarte_18.04.1918_03.jpg;Augustiner, Gaststätte;;Kriegs-Speisenkarte;18.04.1918;3;JPG;8,425 MB
Augustiner, Gaststätten_Speisenkarte_15.08.1959;Augustiner, Gaststätten;;Speisenkarte;15.08.1959;;DIR;51,569 MB
Augustiner, Gaststätten_Speisenkarte_15.08.1959_01.jpg;Augustiner, Gaststätten;;Speisenkarte;15.08.1959;1;JPG;13,124 MB
Augustiner, Gaststätten_Speisenkarte_15.08.1959_02.jpg;Augustiner, Gaststätten;;Speisenkarte;15.08.1959;2;JPG;24,377 MB
Augustiner, Gaststätten_Speisenkarte_15.08.1959_03.jpg;Augustiner, Gaststätten;;Speisenkarte;15.08.1959;3;JPG;14,068 MB
